TITLE,ZULU UTC TIME (Seconds),SIM TIME (Seconds),ZULU DAY OF YEAR (Number),ZULU DATE (Number),PLANE LATITUDE (Degrees),PLANE LONGITUDE (Degrees),PLANE PITCH DEGREES (Radians),PLANE BANK DEGREES (Radians),PLANE HEADING DEGREES TRUE (Radians),INCIDENCE ALPHA (Radians),INCIDENCE BETA (Radians),AIRSPEED TRUE (Meters per second),PLANE ALTITUDE (Feet),ELEVATOR DEFLECTION (Radians),RUDDER DEFLECTION (Radians),AILERON LEFT DEFLECTION (Radians),AILERON RIGHT DEFLECTION (Radians),AMBIENT WIND DIRECTION (Degrees),AMBIENT WIND VELOCITY (Knots),AMBIENT WIND X (Meters per second),AMBIENT WIND Y (Meters per second),AMBIENT WIND Z (Meters per second),VERTICAL SPEED (Feet per second),TURB ENG N1:1 (Percent),TURB ENG N1:2 (Percent),DEFINED WIND X (Meters per second),DEFINED WIND Y (Meters per second),DEFINED WIND Z (Meters per second),VELOCITY WORLD X (Meters per second),VELOCITY WORLD Y (Meters per second),VELOCITY WORLD Z (Meters per second)
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.38263862697112926980,150,2017/5/30,30.46014496937004167876,-86.52102711513673227728,3.08483129416963297587,-0.00247329387721505851,192.11144615023093251693,6.11512980500687941543,0.00049546137387510502,104.78566728379982464503,834.30016173193996564805,0.75081386461278287747,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-14.33514785766601562500,98.35508757617996877798,98.35516756456594578140,-0.62,-0.13,-10.97,-22.08873250674632160440,-5.49315125318254082742,-102.93018265237716946103,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.46147252697073781746,150,2017/5/30,30.46007189762132938426,-86.52104527622013563359,3.02208832170901153802,0.00000000000000000000,192.11146023531881610324,6.09383297299208148701,0.00046974346625815937,104.95698130289704863571,832.86751915769718834781,0.74988365433276060745,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-14.62869358062744140625,98.35748803997611844352,98.35756803498662748098,-0.61,-0.13,-11.15,-22.12205338480696070746,-5.58276052905624720069,-103.08551779721894092745,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.53865032697058268241,150,2017/5/30,30.46000025398603838767,-86.52106308230167996953,2.96096175622917723302,0.00000000000000000000,192.11149807826444657621,6.07375229376988734487,0.00040484661735776885,105.11911105685756240291,831.44328426527624742448,0.74900187107486682070,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-14.91525840759277343750,98.35974118972610824585,98.35982119116496846800,-0.61,-0.13,-11.32,-22.15470458804655962126,-5.66618064165007062627,-103.23805019244046832227,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.61476382697037479375,150,2017/5/30,30.45992949445205510983,-86.52108066856145285328,2.90096985594277523290,0.00189746427501990417,192.11151826171547440936,6.05367562381366308699,0.00031573703681777145,105.28086402045347824696,830.01825586137488244276,0.74797131807734329456,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-15.19695854187011718750,98.36650079681960789912,98.36658080835866257985,-0.60,-0.13,-11.48,-22.18692433817676246122,-5.74900958902777148296,-103.38874386685183992540,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.69052572697046343819,150,2017/5/30,30.45985895925613107238,-86.52109819896912767945,2.84154955712138690416,0.00000000000000000000,192.11153725664743774360,6.03369261598975459293,0.00024968462254524139,105.44221664428702922578,828.57897180768100042769,0.74709065066934698951,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-15.47660732269287109375,98.36874575570324452656,98.36882577362040080970,-0.60,-0.13,-11.64,-22.21908858189151914075,-5.83123714710883156442,-103.53896331993136925576,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.79111912697044317611,150,2017/5/30,30.45976514718211447530,-86.52112151441930620877,2.76310952904462192592,0.00000000000000000000,192.11155272248473124819,6.00731705182193032044,0.00021092460219125468,105.65639056735560075140,826.63693748106129532971,0.74591947665243063526,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-15.84652805328369140625,98.37171163826266706565,98.37179166474143698906,-0.60,-0.13,-11.86,-22.26193130432367084381,-5.93981914175712599757,-103.73875245317357496333,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.86398454919253708795,150,2017/5/30,30.45969708082246185654,-86.52113843114030089509,2.70661596632788903349,0.00000000000000000000,192.11158098776240876759,5.98904173964430430743,0.00015485790838879937,105.80573299831806366456,825.20783472431287464133,0.74510132258792804993,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-16.11358451843261718750,98.37375733458496540607,98.37383736721523064261,-0.60,-0.13,-12.01,-22.29301496230683810040,-6.01420433808808141407,-103.88393897395131659778,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3044.94431092697004714864,150,2017/5/30,30.45962193467098444444,-86.52115710734368292378,2.64465590431299935048,0.00000000000000000000,192.11159880483037909471,5.96748479959350675017,0.00009273791302494307,105.98288726806632098487,823.61074508503998004016,0.74412918217583445823,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-16.40716743469238281250,98.37624209066582636751,98.37632213024909333399,-0.59,-0.13,-12.19,-22.32723589804287911420,-6.10428897811923310002,-104.04375539038284159687,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3045.01971812697001951165,150,2017/5/30,30.45955128510053455670,-86.52117466592302719164,2.58679352897672476530,0.00139910398465658073,192.11159920087115438037,5.94821225338627623813,0.00003023353849915329,106.14218324449318231473,822.09094296552041214454,0.74325356016158572459,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-16.68192481994628906250,98.37844501504172001205,98.37852506109527439548,-0.59,-0.13,-12.35,-22.35944542179290550621,-6.18380983158911323727,-104.19426756520745414036,
PMDG 737-800NGX PMDG House Winglets,19:1:40,3045.09745642696998402243,150,2017/5/30,30.45947834461105685477,-86.52119279379284932929,2.52745006978468866876,0.01043630104475660320,192.11161575533364498369,5.92802509912686570459,-0.00001102787796134270,106.30997270372169793973,820.50299775539292568283,0.74232976154833818505,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-16.96446609497070312500,98.38079638602965815153,98.38087643877319976582,-0.59,-0.13,-12.52,-22.39269238167651820959,-6.26782082263216366869,-104.34951743454864470095,
