TITLE,ZULU UTC TIME (Seconds),SIM TIME (Seconds),ZULU DAY OF YEAR (Number),ZULU DATE (Number),PLANE LATITUDE (Degrees),PLANE LONGITUDE (Degrees),PLANE PITCH DEGREES (Radians),PLANE BANK DEGREES (Radians),PLANE HEADING DEGREES TRUE (Radians),INCIDENCE ALPHA (Radians),INCIDENCE BETA (Radians),AIRSPEED TRUE (Meters per second),PLANE ALTITUDE (Feet),ELEVATOR DEFLECTION (Radians),RUDDER DEFLECTION (Radians),AILERON LEFT DEFLECTION (Radians),AILERON RIGHT DEFLECTION (Radians),AMBIENT WIND DIRECTION (Degrees),AMBIENT WIND VELOCITY (Meters per second),AMBIENT WIND X (Meters per second),AMBIENT WIND Y (Meters per second),AMBIENT WIND Z (Meters per second),VERTICAL SPEED (Feet per second),TURB ENG N1:1 (Percent),TURB ENG N1:2 (Percent),DEFINED WIND X (Meters per second),DEFINED WIND Y (Meters per second),DEFINED WIND Z (Meters per second),VELOCITY WORLD X (Meters per second),VELOCITY WORLD Y (Meters per second),VELOCITY WORLD Z (Meters per second)
PMDG 737-900NGX PMDG House,19:0:53,2997.29999067697190184845,150,2017/5/30,30.49758141746337614109,-86.51172437084441924071,-0.55688566213647683334,-0.00000000000000000000,192.10841882174005945672,-0.56049250329268729409,0.00066617045846420172,30.62982448577878358265,94.91252737321136123683,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00116820819675922394,98.08965002636549002091,98.09142394432045364283,-0.02,-0.01,0.00,-6.43060414545074099379,0.00037364359503560326,-29.97284555618966450652,
PMDG 737-900NGX PMDG House,19:0:53,2997.40515527697152720066,150,2017/5/30,30.49755294259263038725,-86.51173144892838706710,-0.55695321697728217281,-0.01178965346078717641,192.10836691609711124329,-0.56056115044199283926,0.00066180218306943067,30.86902356889510201654,94.91265762616275480923,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00117529556155204773,98.08942622701543712083,98.09118923608293982852,-0.03,-0.01,0.00,-6.48093590570361310910,0.00037542253564777531,-30.20759073481550061047,
PMDG 737-900NGX PMDG House,19:0:53,2997.67132137697171856416,150,2017/5/30,30.49747988280519095383,-86.51174960946164560482,-0.55710887058757396773,0.00000000000000000000,192.10849011456556922894,-0.56069863063509428613,0.00046114408234574218,31.47050266265866724780,94.91298175326798514106,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00118531775660812855,98.08769255101216799630,98.08937963713442798053,-0.03,-0.01,0.00,-6.60806020216223632957,0.00037538853407482109,-30.80043237663891275702,
PMDG 737-900NGX PMDG House,19:0:53,2997.72151627697166986763,150,2017/5/30,30.49746594581412395542,-86.51175307377124568120,-0.55713848586138670083,0.00000000000000000000,192.10850505370024166041,-0.56073390199700046121,0.00042400312794127471,31.59034554799395166924,94.91304374466631088580,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00118780054617673159,98.08730239768058822847,98.08896903348156115499,-0.02,-0.01,0.00,-6.63199275805325250133,0.00037817741616923047,-30.91202344258232770358,
PMDG 737-900NGX PMDG House,19:0:53,2997.79430709919415676268,150,2017/5/30,30.49744564538673685661,-86.51175811982734842331,-0.55718234848314185381,0.00000000000000000000,192.10853562833941055032,-0.56078179054203047826,0.00038430648025414472,31.74946686638723747365,94.91313474341518485744,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00119229918345808983,98.08659681599898760851,98.08823197608694499650,-0.03,-0.01,0.00,-6.66667313905738723179,0.00038433633731565050,-31.07372984633247625652,
PMDG 737-900NGX PMDG House,19:0:53,2997.87220857697229803307,150,2017/5/30,30.49742380238106775892,-86.51176354930952072664,-0.55723047997319430369,0.00000000000000000000,192.10854972784437677547,-0.56083696796578330623,0.00034935628660959353,31.93249082353377588106,94.91323342240526983460,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00119796104263514280,98.08595603808831242532,98.08755720425868673829,-0.02,-0.01,0.00,-6.70375753448744049479,0.00038831772508912899,-31.24663608074428466921,
PMDG 737-900NGX PMDG House,19:0:53,2997.96963079919487427105,150,2017/5/30,30.49739631542344042714,-86.51177038168563626641,-0.55729221848094456782,0.01235365048583471174,192.10854692884350924942,-0.56090044952720774507,0.00032587799644025108,32.14720442030162672609,94.91335846099711659463,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00120603642426431179,98.08500001551293223656,98.08655823947488272552,-0.03,-0.01,0.00,-6.75008889203189976769,0.00039373428286384001,-31.46264717895771312328,
PMDG 737-900NGX PMDG House,19:0:53,2998.04755457697274323436,150,2017/5/30,30.49737419356797829550,-86.51177588045976563080,-0.55734243104429204152,0.00983067915172853267,192.10849580787149193384,-0.56096009883060760082,0.00034582496552529952,32.32784596337209848116,94.91345961114993201591,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00121311075054109097,98.08431425282344662264,98.08583895652084549965,-0.03,-0.01,0.00,-6.78710940664347628370,0.00040218231771453931,-31.63524594412632495732,
PMDG 737-900NGX PMDG House,19:0:54,2998.12261787697298132116,150,2017/5/30,30.49735276938285721826,-86.51178120580661357053,-0.55738960203897769397,0.00663758808032202229,192.10842854286821079768,-0.56103443526349905390,0.00038928352206158513,32.49970946841767016622,94.91356079960188196765,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00122316286433488131,98.08367885719677303769,98.08517227290096229808,-0.02,-0.01,0.00,-6.82273757372738653970,0.00041697159815741041,-31.80136431880411862494,
PMDG 737-900NGX PMDG House,19:0:54,2998.21981549919519238756,150,2017/5/30,30.49732486110925577805,-86.51178814286888041352,-0.55744925947343293426,-0.00000000000000000000,192.10831186601268427694,-0.56109943662130579156,0.00045356424660704619,32.71335549248586715976,94.91369509080230670861,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,-0.00000000000000000000,0.00123802607413381338,98.08280477634370697615,98.08425789185621113120,-0.03,-0.01,0.00,-6.86882342789651723081,0.00042334493333094869,-32.01624642215114846522,
